,movieCd,movieNm,showTm,prdtYear,openDt,prdtStatNm,typeNm,nations,gradeNm
0,20172603,부라더,102,2017,20171102,개봉,장편,[{'nationNm': '한국'}],12세이상관람가
0,20169643,침묵,125,2017,20171102,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20173724,직쏘,91,2017,20171102,개봉,장편,[{'nationNm': '미국'}],청소년관람불가
0,20174902,신서유기 : 몽키킹의 부활,83,2015,20171102,개봉,장편,[{'nationNm': '중국'}],전체관람가
0,20173612,메소드,81,2017,20171102,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20174622,해피 데스데이,96,2017,20171108,개봉,장편,[{'nationNm': '미국'}],15세이상관람가
0,20161681,미옥,90,2017,20171109,개봉,장편,[{'nationNm': '한국'}],청소년관람불가
0,20175441,채비,114,2017,20171109,개봉,장편,[{'nationNm': '한국'}],12세이상관람가
0,20179942,러빙 빈센트,94,2017,20171109,개봉,장편,"[{'nationNm': '영국'}, {'nationNm': '폴란드'}]",15세이상관람가
0,20175244,극장판 파워레인저: 애니멀포스 VS 닌자포스 미래에서 온 메시지,57,2017,20171109,개봉,장편,[{'nationNm': '일본'}],전체관람가
0,20168221,저스티스 리그,119,2017,20171115,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20168754,7호실,100,2017,20171115,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20165748,꾼,116,2017,20171122,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20175223,래빗 스쿨,75,2017,20171123,개봉,장편,[{'nationNm': '독일'}],전체관람가
0,20175288,피터와 모글리의 크리스마스 어드벤처,75,2016,20171123,개봉,장편,[{'nationNm': '인도'}],전체관람가
0,20173903,역모-반란의 시대,102,2015,20171123,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20173581,기억의 밤,108,2017,20171129,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20178581,오리엔트 특급 살인,113,2017,20171129,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20161762,반드시 잡는다,110,2017,20171129,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20174846,뽀로로 극장판 공룡섬 대모험,78,2017,20171207,개봉,장편,[{'nationNm': '한국'}],전체관람가
0,20174585,메리와 마녀의 꽃,102,2017,20171207,개봉,장편,[{'nationNm': '일본'}],전체관람가
0,20173693,어쌔신: 더 비기닝,111,2017,20171207,개봉,장편,[{'nationNm': '미국'}],15세이상관람가
0,20170402,강철비,139,2017,20171214,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20170443,스타워즈: 라스트 제다이,151,2017,20171214,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20176367,극장판 숲의 요정 페어리루 ~크리스마스의 기적: 마법의 날개~,64,2017,20171214,개봉,장편,[{'nationNm': '일본'}],전체관람가
0,20175481,튤립 피버,104,2017,20171214,개봉,장편,"[{'nationNm': '영국'}, {'nationNm': '미국'}]",청소년관람불가
0,20150976,신과함께-죄와 벌,139,2017,20171220,개봉,장편,[{'nationNm': '한국'}],12세이상관람가
0,20179462,위대한 쇼맨,104,2017,20171220,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20174965,극장판 포켓몬스터 너로 정했다!,97,2017,20171221,개봉,장편,[{'nationNm': '일본'}],전체관람가
0,20176082,몬스터 패밀리,92,2017,20171221,개봉,장편,[{'nationNm': '독일'}],전체관람가
0,20176022,더 크리스마스,85,2017,20171221,개봉,장편,[{'nationNm': '미국'}],전체관람가
0,20170590,1987,129,2017,20171227,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20176947,원더,113,2017,20171227,개봉,장편,[{'nationNm': '미국'}],전체관람가
0,20177479,극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,65,2017,20171228,개봉,장편,[{'nationNm': '일본'}],전체관람가
0,20171909,쥬만지: 새로운 세계,118,2017,20180103,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20177104,페르디난드,107,2017,20180103,개봉,장편,[{'nationNm': '미국'}],전체관람가
0,20179985,코코,126,2017,20180111,개봉,장편,[{'nationNm': '미국'}],전체관람가
0,20173547,다운사이징,135,2017,20180111,개봉,장편,[{'nationNm': '미국'}],15세이상관람가
0,20177602,"쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?",90,2017,20180111,개봉,장편,[{'nationNm': '일본'}],15세이상관람가
0,20175054,메이즈 러너: 데스 큐어,142,2017,20180117,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20176104,그것만이 내 세상,120,2017,20180117,개봉,장편,[{'nationNm': '한국'}],12세이상관람가
0,20173662,리틀 뱀파이어,83,2017,20180118,개봉,장편,"[{'nationNm': '독일'}, {'nationNm': '미국'}]",전체관람가
0,20189525,젝스키스 에이틴,100,2017,20180118,개봉,장편,[{'nationNm': '한국'}],전체관람가
0,20178230,커뮤터,104,2017,20180124,개봉,장편,"[{'nationNm': '영국'}, {'nationNm': '미국'}]",15세이상관람가
0,20168161,1급기밀,100,2016,20180124,개봉,장편,[{'nationNm': '한국'}],12세이상관람가
0,20178444,극장판 레이디버그: 미라클스톤의 비밀,66,2017,20180125,개봉,장편,[{'nationNm': '프랑스'}],전체관람가
0,20177473,비밥바룰라,97,2018,20180124,개봉,장편,[{'nationNm': '한국'}],12세이상관람가
0,20168323,염력,101,2017,20180131,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20178126,인시디어스4: 라스트 키,103,2017,20180131,개봉,장편,[{'nationNm': '미국'}],15세이상관람가
0,20178395,12 솔져스,130,2018,20180131,개봉,장편,[{'nationNm': '미국'}],15세이상관람가
0,20179228,마야2,84,2017,20180201,개봉,장편,[{'nationNm': '독일'}],전체관람가
0,20178469,올 더 머니,132,2017,20180201,개봉,장편,[{'nationNm': '미국'}],15세이상관람가
0,20179205,조선명탐정: 흡혈괴마의 비밀,119,2017,20180208,개봉,장편,[{'nationNm': '한국'}],12세이상관람가
0,20178672,패딩턴 2,103,2017,20180208,개봉,장편,"[{'nationNm': '프랑스'}, {'nationNm': '영국'}]",전체관람가
0,20189901,더 포리너,113,2017,20180207,개봉,장편,"[{'nationNm': '영국'}, {'nationNm': '중국'}]",15세이상관람가
0,20170561,블랙 팬서,134,2018,20180214,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20168250,골든슬럼버,108,2017,20180214,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20176121,흥부: 글로 세상을 바꾼 자,105,2017,20180214,개봉,장편,[{'nationNm': '한국'}],12세이상관람가
0,20078561,명탐정 코난:감벽의 관,106,2007,20180214,개봉,장편,[{'nationNm': '일본'}],12세이상관람가
0,20177946,월요일이 사라졌다,123,2017,20180222,개봉,장편,"[{'nationNm': '영국'}, {'nationNm': '미국'}, {'nationNm': '프랑스'}, {'nationNm': '벨기에'}]",15세이상관람가
0,20173436,셰이프 오브 워터: 사랑의 모양,123,2017,20180222,개봉,장편,[{'nationNm': '미국'}],청소년관람불가
0,20180542,50가지 그림자: 해방,105,2018,20180221,개봉,장편,[{'nationNm': '미국'}],청소년관람불가
0,20150969,궁합,109,2015,20180228,개봉,장편,[{'nationNm': '한국'}],12세이상관람가
0,20170841,리틀 포레스트,103,2018,20180228,개봉,장편,[{'nationNm': '한국'}],전체관람가
0,20179731,나미야 잡화점의 기적,129,2017,20180228,개봉,장편,[{'nationNm': '일본'}],전체관람가
0,20180341,레드 스패로,140,2018,20180228,개봉,장편,[{'nationNm': '미국'}],청소년관람불가
0,20189663,게이트,91,2017,20180228,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20189861,더 포스트,116,2017,20180228,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20178781,사라진 밤,101,2017,20180307,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20180564,툼레이더,117,2018,20180308,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20176070,플로리다 프로젝트,111,2017,20180307,개봉,장편,[{'nationNm': '미국'}],15세이상관람가
0,20178490,온리 더 브레이브,133,2017,20180307,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20170669,지금 만나러 갑니다,131,2017,20180314,개봉,장편,[{'nationNm': '한국'}],12세이상관람가
0,20180302,허리케인 하이스트,102,2017,20180314,개봉,장편,[{'nationNm': '미국'}],15세이상관람가
0,20172244,치즈인더트랩,116,2017,20180314,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20178449,쓰리 빌보드,115,2017,20180315,개봉,장편,[{'nationNm': '미국'}],15세이상관람가
0,20174603,퍼시픽 림: 업라이징,110,2018,20180321,개봉,장편,[{'nationNm': '미국'}],15세이상관람가
0,20180804,곤지암,94,2017,20180328,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20181366,미니특공대X,67,2018,20180322,개봉,장편,[{'nationNm': '한국'}],전체관람가
0,20178522,콜 미 바이 유어 네임,131,2017,20180322,개봉,장편,"[{'nationNm': '이탈리아'}, {'nationNm': '프랑스'}, {'nationNm': '브라질'}, {'nationNm': '미국'}]",청소년관람불가
0,20173962,소공녀,106,2017,20180322,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20171122,레디 플레이어 원,139,2018,20180328,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20154908,7년의 밤,123,2018,20180328,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20181621,막달라 마리아: 부활의 증인,119,2018,20180328,개봉,장편,[{'nationNm': '영국'}],12세이상관람가
0,20153447,바람 바람 바람,100,2017,20180405,개봉,장편,[{'nationNm': '한국'}],청소년관람불가
0,20181561,덕구,91,2017,20180405,개봉,장편,[{'nationNm': '한국'}],전체관람가
0,20182021,번개맨과 신비의 섬,69,2017,20180405,개봉,장편,[{'nationNm': '한국'}],전체관람가
0,20178424,레이디 버드,94,2017,20180404,개봉,장편,[{'nationNm': '미국'}],15세이상관람가
0,20181788,콰이어트 플레이스,90,2018,20180412,개봉,장편,[{'nationNm': '미국'}],15세이상관람가
0,20176917,램페이지,107,2018,20180412,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20182352,"그날, 바다",110,2018,20180412,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20165045,머니백,100,2016,20180412,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20182221,스파키,91,2016,20180412,개봉,장편,[{'nationNm': '한국'}],전체관람가
0,20177266,나를 기억해,101,2018,20180419,개봉,장편,[{'nationNm': '한국'}],청소년관람불가
0,20182360,정글번치: 최강 악당의 등장,97,2017,20180419,개봉,장편,[{'nationNm': '프랑스'}],전체관람가
0,20182701,크리미널 스쿼드,123,2018,20180419,개봉,장편,[{'nationNm': '미국'}],15세이상관람가
0,20177478,어벤져스: 인피니티 워,149,2018,20180425,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20167007,살인소설,102,2017,20180425,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20183195,레오나르도 다 빈치,82,2018,20180426,개봉,장편,[{'nationNm': '이탈리아'}],전체관람가
