영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국_스크린수,전국_매출액,전국_관객수,서울_매출액,서울_관객수,장르,등급,영화구분,영화코드
운디네,크리스티안 펫졸드,,M&M 인터내셔널,M&M 인터내셔널,2020-12-24,개봉영화,장편,독일,42,56997020,6643,38061850,4202,드라마,12세이상관람가,독립/예술영화,e
매직아치,바실리 로벤스키,,(주)영화사 빅,(주)영화사 빅,2021-07-01,개봉영화,장편,러시아,182,52885610,6633,6632500,677,애니메이션,전체관람가,일반영화,e
네모난원,김성훈,영화사 랑,,(주)팝엔터테인먼트,2012-12-06,개봉영화,장편,한국,16,44276000,6627,15744000,2407,드라마,15세이상관람가,독립/예술영화,e
에브리데이,마이클 윈터바텀,,(주)영화사 진진,(주)영화사 진진,2013-06-13,개봉영화,장편,영국,16,45674000,6626,34257000,4756,드라마,청소년관람불가,독립/예술영화,20188661
에픽하이 20 더 무비,조윤수,(주)영화사 그램,,"씨지브이 아이스콘,(주)플레이그램",2024-03-20,개봉영화,장편,한국,54,139627500,6620,92653500,4211,공연,12세이상관람가,일반영화,e
밤은 짧아 걸어 아가씨야,유아사 마사아키,,(주)미디어캐슬,(주)라이크콘텐츠,2018-03-29,개봉영화,장편,일본,45,51696700,6618,38547000,4878,애니메이션,12세이상관람가,독립/예술영화,e
당신은 믿지 않겠지만,이시이 유야,(주)디오시네마,,(주)디오시네마,2021-10-28,개봉영화,장편,일본,100,53356540,6605,34678300,4322,드라마,12세이상관람가,독립/예술영화,e
복지식당,"정재익,서태수",제주에스엘(주),,㈜인디스토리,2022-04-14,개봉영화,장편,한국,53,47291100,6598,29829100,4131,드라마,12세이상관람가,독립/예술영화,e
환절기,이동은,명필름랩,,(주)리틀빅픽쳐스,2018-02-22,개봉영화,장편,한국,51,52955000,6592,37585000,4475,드라마,15세이상관람가,독립/예술영화,e
사보타지,데이비드 에이어,,(주)메인타이틀픽쳐스,(주)나이너스엔터테인먼트,2014-07-23,개봉영화,장편,미국,70,50277100,6591,22902500,3012,범죄,청소년관람불가,일반영화,e
수영장,오오모리 미카,,(주)스폰지이엔티,(주)영화사 조제,2011-03-31,개봉영화,장편,일본,3,51216500,6587,49329500,6251,드라마,15세이상관람가,독립/예술영화,e
노 웨이 업,클라우디오 파,,,스튜디오 에이드,2024-06-19,개봉영화,장편,영국,147,51781600,6580,17814400,2340,액션,15세이상관람가,일반영화,e
몽마르트 파파,민병우,"웃음을 주는 영화,(주)해밀픽쳐스",,(주)트리플픽쳐스,2020-01-09,개봉영화,장편,한국,42,48610800,6580,24893800,3124,다큐멘터리,전체관람가,독립/예술영화,e
좋아하게 되는 그 순간을 ~고백실행위원회~,야나기자와 테츠야,,(주)엔케이컨텐츠,(주)디스테이션,2017-06-22,개봉영화,장편,일본,63,48850000,6573,22467000,2935,애니메이션,12세이상관람가,일반영화,e
비포 : 불가사의한 피라미드,이도 엔젤,,(주)시네마리퍼블릭,(주)영화사 빅,2014-09-18,개봉영화,장편,이스라엘,72,45170000,6568,10260000,1405,애니메이션,전체관람가,일반영화,e
더 디너,이바노 데 마테오,,감 픽쳐스,(주)판다미디어,2015-07-16,개봉영화,장편,이탈리아,19,48040700,6548,28999800,3674,드라마,청소년관람불가,독립/예술영화,e
"카페, 한 사람을 기다리다",강금림,,(주)해머픽쳐스,"(주)드림팩트엔터테인먼트,(주)일레븐엔터테인먼트",2017-05-11,개봉영화,장편,대만,107,52164000,6545,23988500,2913,멜로/로맨스,15세이상관람가,독립/예술영화,e
행복의 속도,박혁지,(주)하이하버픽쳐스,,(주)영화사 진진,2021-11-18,개봉영화,장편,한국,23,47870040,6540,36541540,5062,다큐멘터리,전체관람가,독립/예술영화,e
비밀,"임경호,소준범",스튜디오고트,,(주)영화특별시에스엠씨,2023-12-13,개봉영화,장편,한국,126,66190305,6530,33909102,3198,미스터리,청소년관람불가,일반영화,20156553
베를린 신드롬,케이트 쇼트랜드,,예지림엔터테인먼트,예지림엔터테인먼트,2017-07-06,개봉영화,장편,호주,78,50803800,6529,22670800,2857,스릴러,청소년관람불가,독립/예술영화,e
아디오스,파코 카베자스,,(주)도키엔터테인먼트,(주)이놀미디어,2020-07-22,개봉영화,장편,스페인,150,48029220,6526,18146060,2562,액션,청소년관람불가,독립/예술영화,e
오디션,미이케 다카시,,(주)히스토리필름,와이드 릴리즈(주),2023-04-19,개봉영화,장편,일본,122,68387700,6525,35304700,3287,공포(호러),청소년관람불가,독립/예술영화,e
미스터 홈즈,빌 콘돈,,(주)프레인글로벌,(주)프레인글로벌,2016-05-26,개봉영화,장편,영국,58,50852300,6518,29843600,3757,범죄,12세이상관람가,독립/예술영화,e
기적의 피아노,"임성구,김은주",(주)보고싶은영화사,,롯데쇼핑㈜롯데엔터테인먼트,2015-09-03,개봉영화,장편,한국,74,46156800,6514,22829700,3130,다큐멘터리,전체관람가,독립/예술영화,e
사랑은 소설처럼,제시카 골드버그,,(주)에이블엔터테인먼트,(주)팝엔터테인먼트,2014-06-12,개봉영화,장편,미국,35,51129800,6513,28208100,3549,멜로/로맨스,15세이상관람가,독립/예술영화,e
해피엔드,미카엘 하네케,,그린나래미디어(주),그린나래미디어(주),2019-06-20,개봉영화,장편,프랑스,35,51406630,6510,35944830,4267,드라마,15세이상관람가,독립/예술영화,e
극장판 미스터리라 하지 말지어다,마츠야마 히로아키,,(주)미디어캐슬,(주)미디어캐슬,2024-11-27,개봉영화,장편,일본,99,52274100,6490,27416500,3303,범죄,12세이상관람가,일반영화,e
청춘 합창단 - 또 하나의 꿈,"이혁종,안정민",(주)네오스카이인터내셔날,,와이드 릴리즈(주),2017-06-15,개봉영화,장편,한국,39,44711400,6489,30023400,3810,다큐멘터리,전체관람가,일반영화,e
웬디,벤 제틀린,,(주)영화사 진진,"(주)영화사 진진,(주)하이스트레인저",2021-06-30,개봉영화,장편,미국,79,45993870,6482,32676470,4681,드라마,12세이상관람가,독립/예술영화,e
틴 스피릿,맥스 밍겔라,,찬란,"TCO(주)더콘텐츠온,플레이리스트(주)",2019-09-04,개봉영화,장편,미국,203,52373790,6480,25895500,3012,드라마,12세이상관람가,독립/예술영화,e
후겟츠 웨슬리,헉 봇코,,(주)콘텐츠패밀리,(주)영화특별시에스엠씨,2021-11-18,개봉영화,장편,미국,89,49034670,6476,29518970,4163,코미디,12세이상관람가,일반영화,e
학교괴담 : 저주의 언령,오치아이 마사유키,,(주)애니플러스,(주)박수엔터테인먼트,2015-07-02,개봉영화,장편,일본,70,47578100,6469,11262500,1530,미스터리,15세이상관람가,독립/예술영화,e
영 앤 뷰티풀,프랑수아 오종,,찬란,찬란,2013-12-05,개봉영화,장편,프랑스,23,48952000,6468,39264000,4872,드라마,청소년관람불가,독립/예술영화,e
세상의 모든 디저트: 러브 사라,,,(주)티캐스트,(주)티캐스트,2021-02-04,개봉영화,장편,영국,117,54132170,6457,34902590,4065,드라마,12세이상관람가,독립/예술영화,20200472
나의 첫번째 장례식,샘 가바르스키,,감 픽쳐스,(주)판다미디어,2014-09-11,개봉영화,장편,벨기에,17,45843000,6446,24507900,3164,코미디,15세이상관람가,독립/예술영화,e
이스케이프 플랜 2: 하데스,스티븐 C. 밀러,,(주)누리픽쳐스,(주)누리픽쳐스,2018-11-08,개봉영화,장편,미국,27,32328000,6431,17350000,3470,액션,15세이상관람가,일반영화,e
헌트,크레이그 조벨,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2020-04-23,개봉영화,장편,미국,30,47535240,6415,33632640,4708,액션,청소년관람불가,일반영화,20211792
클랜,파블로 트라페로,,(주)더블앤조이픽쳐스,"(주)더블앤조이픽쳐스,주식회사 쇼미미디어앤트레이딩",2016-05-12,개봉영화,장편,아르헨티나,58,49283800,6405,29705700,3678,범죄,15세이상관람가,독립/예술영화,e
영화 스미코구라시 - 푸른 달밤의 마법의 아이,오오모리 타카히로,,(주)미디어캐슬,(주)미디어캐슬,2024-02-07,개봉영화,장편,일본,106,52293720,6399,22116360,2658,애니메이션,전체관람가,독립/예술영화,e
앙리 앙리,마틴 탈봇,,(주)컴퍼니엘,(주)영화사 빅,2015-10-29,개봉영화,장편,캐나다,61,50044500,6394,37074500,4676,드라마,12세이상관람가,독립/예술영화,e
"내 어깨 위 고양이, 밥 2",찰스 마틴 스미스,,(주)누리픽쳐스,(주)영화특별시에스엠씨,2020-12-24,개봉영화,장편,영국,202,55306190,6378,23792370,2638,가족,전체관람가,독립/예술영화,20202368
노스맨,로버트 에거스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-08-31,개봉영화,장편,미국,39,56335999,6378,38877799,4588,드라마,청소년관람불가,독립/예술영화,e
"사랑, 스무살",제이크 골드버거,,(주)스톰픽쳐스코리아,와이드 릴리즈(주),2018-10-25,개봉영화,장편,미국,168,52817950,6367,22410450,2522,멜로/로맨스,12세이상관람가,독립/예술영화,e
인비저블 라이프,카림 아이노우즈,,(주)피터팬픽쳐스,(주)삼백상회,2020-06-24,개봉영화,장편,기타,49,51596470,6358,32987890,3946,드라마,청소년관람불가,독립/예술영화,e
기예르모 델토로의 피노키오,기예르모 델 토로,,,씨제이 씨지브이(CJ CGV)(주),2022-11-23,개봉영화,장편,미국,57,58555500,6354,34739200,3615,애니메이션,전체관람가,일반영화,e
갈증,나카시마 테츠야,,찬란,찬란,2014-12-04,개봉영화,장편,일본,35,47317864,6350,33370364,4326,범죄,청소년관람불가,독립/예술영화,e
드래곤 네스트: 평화 기사단 VS 블랙 드래곤,송유평,,"(주)아이아스플러스,주식회사 풍경소리",THE 픽쳐스,2016-11-17,개봉영화,장편,중국,102,49051000,6347,18253500,2263,애니메이션,전체관람가,독립/예술영화,e
봉신연의: 영웅의 귀환,허안,,(주)키다리이엔티,(주)키다리이엔티,2016-09-22,개봉영화,장편,홍콩,155,48190000,6343,16368300,2034,판타지,12세이상관람가,독립/예술영화,e
"마진 콜: 24시간, 조작된 진실",J.C 챈더,,(유)조이앤컨텐츠그룹,(주)팝파트너스,2013-01-03,개봉영화,장편,미국,30,45934500,6342,22187000,3027,스릴러,15세이상관람가,독립/예술영화,e
