,peopleNm,peopleNmEn,movieCd
0,대니 팽,Danny Pang,20040569
1,옥사이드 팽 천,Oxide Pang Chun,20040569
0,곽재용,KWAK Jae-yong,20040568
0,롤랜드 에머리히,Roland Emmerich,20040490
0,조엘 코엔,Joel Coen,20040588
1,에단 코엔,Ethan Coen,20040588
0,유상곤,YOO Sanggon,20040589
0,데이비드 R. 엘리스,David R. Ellis,20040591
0,정연원,JUNG Yeoun-won,20040559
0,콘래드 베논,Conrad Vernon,20040566
1,캘리 애스버리,Kelly Asbury,20040566
2,앤드류 아담슨,Andrew Adamson,20040566
0,이인규,LEE In-gyu,20040571
1,김태경,Kim Tae-kyoung,20040571
0,마사 쿨리지,Martha Coolidge,20040582
0,팻티 젠킨스,Patty Jenkins,20040592
0,폴 그린그래스,Paul Greengrass,20040579
0,장진,JANG Jin,20040583
0,장 프랑소아 풀리오,Jean-Francois Pouliot,20040584
0,샘 레이미,Sam Raimi,20040491
0,박흥식,PARK Heung-sik,20040515
0,육상효,YOOK Sang-hyo,20040595
0,박헌수,PARK Heon-soo,20040567
0,미이케 다카시,Takashi Miike,20040605
0,알폰소 쿠아론,Alfonso Cuaron,20040598
0,박제현,PARK Jae-hyun,20040585
0,김태균,KIM Tae-kyun,20040576
0,안톤 후쿠아,Antoine Fuqua,20040573
0,이환경,LEE Hwan-kyung,20040498
0,마이클 무어,Michael Moore,20040610
0,남상국,NAM Sang-kook,20040586
0,알렉스 프로야스,Alex Proyas,20040597
0,스티븐 소머즈,Stephen Sommers,20040580
0,장현수,JANG Hyun-soo,20040624
0,정용기,JEONG Yong-ki,20040614
0,허인무,HUH In-moo,20040612
0,안병기,AN Byung-ki,20040593
0,김인식,KIM In-shik,20040625
0,양윤호,YANG Yun-ho,20040596
0,신정원,SHIN Jung-won,20040617
0,데이빗 토히,David Twohy,20040618
0,공수창,KONG Su-chang,20040613
0,폴 그린그래스,Paul Greengrass,20040615
0,피터 휴잇,Peter Hewitt,20040616
0,프루트 챈,Fruit Chan,20040637
1,미이케 다카시,Takashi Miike,20040637
2,박찬욱,PARK Chanwook,20040637
0,길예르모 델 토로,Guillermo Del Toro,20040623
0,스티븐 스필버그,Steven Spielberg,20040631
0,우인태,Ronny Yu,20040600
0,프랑시스 베베르,Francis Veber,20040532
0,이정철,LEE Jung-chul,20040554
0,이상훈,LEE Sang-hoon,20040659
0,폴 W.S. 앤더슨,Paul W.S. Anderson,20040648
0,마크 S. 워터스,Mark S. Waters,20040581
0,송일곤,SONG Il-gon,20040608
0,닉 햄,Nick Hamm,20040607
0,장예모,Yimou Zhang,20040640
0,서세원,SUH Se-won,20040647
0,김상진,KIM Sang-jin,20040649
0,프랑코 코라시,,20040642
0,김종현,KIM Jong-hyun,20040619
0,피터 웨버,Peter Webber,20040654
0,류장하,RYU Jang-ha,20040651
0,M. 나이트 샤말란,M. Night Shyamalan,20040650
0,피토프,Pitof,20040669
0,토니 스콧,Tony Scott,20040670
0,제리 주커,Jerry Zucker,20040663
0,프랭크 오즈,Frank Oz,20040676
0,안권태,AHN Gwon-tae,20040628
0,유키사다 이사오,Isao Yukisada,20040656
0,오시이 마모루,Mamoru Oshii,20040686
0,마이클 만,Michael Mann,20040655
