,genreNm,movieCd
0,애니메이션,20210682
1,액션,20210682
2,어드벤처,20210682
0,드라마,20210587
1,뮤지컬,20210587
2,멜로/로맨스,20210587
0,멜로/로맨스,20210662
0,액션,20218256
1,어드벤처,20218256
2,드라마,20218256
0,드라마,20210262
1,스릴러,20210262
0,드라마,20219894
1,뮤지컬,20219894
0,드라마,20210302
1,서부극(웨스턴),20210302
0,범죄,20203286
1,액션,20203286
0,애니메이션,20210937
1,코미디,20210937
2,가족,20210937
0,애니메이션,20210301
0,드라마,20211313
1,뮤지컬,20211313
0,드라마,20191243
1,코미디,20191243
0,다큐멘터리,20201876
0,뮤지컬,20210244
1,드라마,20210244
0,코미디,20210600
1,드라마,20210600
2,멜로/로맨스,20210600
0,애니메이션,20211261
0,애니메이션,20210752
1,공연,20210752
0,판타지,20196264
1,액션,20196264
0,애니메이션,20210864
0,멜로/로맨스,20205986
1,코미디,20205986
0,드라마,20219056
1,멜로/로맨스,20219056
0,어드벤처,20196763
1,미스터리,20196763
2,액션,20196763
0,공포(호러),20210663
1,스릴러,20210663
2,미스터리,20210663
0,애니메이션,20183772
0,애니메이션,20211271
0,코미디,20212015
1,드라마,20212015
2,SF,20212015
0,다큐멘터리,20211413
0,애니메이션,20211831
1,액션,20211831
2,판타지,20211831
0,액션,20210028
1,어드벤처,20210028
2,SF,20210028
0,애니메이션,20212217
1,가족,20212217
2,어드벤처,20212217
0,코미디,20010264
1,판타지,20010264
0,액션,20194403
0,액션,20211281
1,SF,20211281
0,애니메이션,20211768
1,판타지,20211768
2,어드벤처,20211768
0,드라마,20218415
0,멜로/로맨스,20217807
1,드라마,20217807
0,공포(호러),20218390
0,드라마,20212077
0,범죄,20199882
1,드라마,20199882
0,애니메이션,20218764
0,범죄,20192354
1,액션,20192354
0,드라마,19838068
0,드라마,20193082
1,뮤지컬,20193082
0,범죄,20211177
1,드라마,20211177
2,스릴러,20211177
0,어드벤처,20211241
1,드라마,20211241
2,가족,20211241
0,공연,20211740
0,액션,20212672
1,공포(호러),20212672
0,코미디,20219626
1,드라마,20219626
0,어드벤처,20201965
1,액션,20201965
2,코미디,20201965
0,드라마,20188441
0,애니메이션,20212952
0,드라마,20219816
0,범죄,20205443
1,드라마,20205443
2,미스터리,20205443
0,액션,20212836
0,다큐멘터리,20205261
0,애니메이션,20223278
0,액션,20211200
1,어드벤처,20211200
0,애니메이션,20223308
1,액션,20223308
2,어드벤처,20223308
0,멜로/로맨스,20223302
1,드라마,20223302
0,미스터리,20212741
1,스릴러,20212741
0,멜로/로맨스,20208006
1,드라마,20208006
0,범죄,20223743
1,드라마,20223743
2,스릴러,20223743
0,멜로/로맨스,20212708
1,뮤지컬,20212708
2,드라마,20212708
0,액션,20212973
1,범죄,20212973
