,peopleNm,peopleNmEn,cast,castEn,movieCd
48,임동민,,건달들,,20198414
49,김기태,KIM Ki-tae,건달들,,20198414
50,선율우,SUN Yul-woo,건달들,,20198414
51,오재세,OH Jae-se,건달들,,20198414
52,우광제,,건달들,,20198414
53,이한결,,건달들,,20198414
54,정상균,,건달들,,20198414
55,정운,,건달들,,20198414
56,최홍락,,건달들,,20198414
57,선우,Sun-woo,룸살롱아가씨들,,20198414
58,강윤혜,,룸살롱아가씨들,,20198414
59,김보람,,룸살롱아가씨들,,20198414
60,김해정,,룸살롱아가씨들,,20198414
61,민서희,,룸살롱아가씨들,,20198414
62,전경석,,상필집TV목사님,,20198414
63,김주아,,라디오기상캐스터,,20198414
64,박혜영,,라디오기상캐스터,,20198414
0,크리스틴 벨,Kristen Bell,,,20197803
1,이디나 멘젤,Idina Menzel,,,20197803
2,조시 게드,Josh Gad,,,20197803
3,조나단 그로프,Jonathan Groff,,,20197803
0,김영은,,하리,,20198374
1,김채하,,두리,,20198374
2,신용우,SHIN Yong-woo,강림,,20198374
3,양정화,YANG Jeong-hwa,금비,,20198374
4,김현지,KIM Hyun-ji,주비,,20198374
5,양정화,YANG Jeong-hwa,금비,,20198374
6,조현정,,신비,,20198374
7,강성우,,내레이션,,20198374
8,김다올,,아귀귀신,,20198374
9,김다올,,대신도깨비,,20198374
10,김명준,,헤론,,20198374
11,김현지,KIM Hyun-ji,주비,,20198374
12,박선영,,강림엄마,,20198374
13,신용우,SHIN Yong-woo,강림,,20198374
14,이현,LEE Hyun,요르문가드,,20198374
15,이현,LEE Hyun,가루다,,20198374
16,이소은,,엄마,,20198374
17,이유서,,모주귀,,20198374
18,최재호,,아빠,,20198374
19,강새봄,,여자아이 ,,20198374
20,강성우,,남자,,20198374
21,김도희,,아이엄마 ,,20198374
22,박시윤,,여자,,20198374
23,유 영,,남자아이 ,,20198374
24,이상호,,잡귀,,20198374
25,이상호,,부기장 ,,20198374
26,이소은,,학생 1,,20198374
27,홍승효,,잠수정조종사,,20198374
28,홍승효,,기장,,20198374
0,맷 데이먼,Matt Damon,,,20192401
1,크리스찬 베일,Christian Bale ,,,20192401
0,채드윅 보스만,Chadwick Boseman,,,20191408
1,J.K. 시몬스,J.K. Simmons,,,20191408
2,시에나 밀러,Sienna Miller,,,20191408
3,테일러 키취,Taylor Kitsch,,,20191408
0,다니엘 크레이그,Daniel Craig,,,20198430
1,크리스 에반스,Chris Evans,,,20198430
2,아나 디 아르마스,Ana de Armas,,,20198430
3,제이미 리 커티스,Jamie Lee Curtis,,,20198430
4,마이클 섀넌,Michael Shannon,,,20198430
5,돈 존슨,Don Johnson,,,20198430
6,크리스토퍼 플러머,Christopher Plummer,,,20198430
0,양정화,YANG Jeong-hwa,,,20199981
1,박지윤,PARK Ji-yoon,,,20199981
2,임채헌,LIM Chae-heon,,,20199981
3,박영재,,,,20199981
4,민승우,,,,20199981
5,민아,,,,20199981
6,임은정,,,,20199981
7,윤용식,,,,20199981
8,김현심,,,,20199981
9,조현정,,,,20199981
10,엄상현,UM Sang-hyun,,,20199981
11,홍진욱,HONG Jin-wook,,,20199981
12,남도형,NAM Do-hyung,,,20199981
13,송하림,SONG Ha-lim,,,20199981
0,로버트 다우니 주니어,Robert Downey Jr.,,,20199581
1,톰 홀랜드,Tom Holland,,,20199581
2,라미 말렉,Rami Malek,,,20199581
3,안토니오 반데라스,Antonio Banderas,,,20199581
4,마리옹 꼬띠아르,Marion Cotillard,,,20199581
5,마이클 쉰,Michael Sheen,,,20199581
6,옥타비아 스펜서,Octavia Spencer,,,20199581
7,쿠마일 난지아니,Kumail Nanjiani,,,20199581
8,존 시나,John Cena,,,20199581
9,셀레나 고메즈,Selena Gomez,,,20199581
10,랄프 파인즈,Ralph Fiennes,,,20199581
11,엠마 톰슨,Emma Thompson,,,20199581
12,크레이그 로빈슨,Craig Robinson,,,20199581
0,데이지 리들리,Daisy Ridley,,,20195462
1,아담 드라이버,Adam Driver,,,20195462
2,오스카 아이삭,Oscar Isaac,,,20195462
3,존 보예가,John Boyega,,,20195462
0,안재홍,AHN Jae-hong,강태수,,20183002
1,강소라,KANG So-ra,한소원,,20183002
2,박영규,PARK Yeong-gyu,서 원장,,20183002
3,김성오,KIM Sung-oh,김건욱,,20183002
4,전여빈,JEON Yeo-been,김해경,,20183002
5,박혁권,PARK Hyuk-kwon,황대표,,20183002
6,김용각,,보조출연팀장,,20183002
7,손지영,,보조출연팀장,,20183002
8,장승조,JANG Seung-jo,성민,,20183002
9,서현우,SEO Hyun-woo,오 비서,,20183002
10,박형수,PARK Hyoung-soo,송 변호사,,20183002
11,김흥래,,까만코,,20183002
12,김수진,KIM Su-jin,서 변호사,,20183002
13,윤대열,,하 계장,,20183002
14,이현욱,LEE Hyun-wook,민철현,,20183002
15,오재균,O Jea-kyun,노총회원,,20183002
16,한예리,HAN Ye-ri,민채령,,20183002
17,김기천,KIM Ki-chun,고대표,,20183002
18,문동혁,MOON Dong-hyeok,일반 관람객5,,20183002
19,조민경,CHO Min-kyung,여우 사육사,,20183002
20,손경원,SON Kyoung-won,JH 경비원,,20183002
21,김경민,KIM Gyeong-min,중국집 주인,,20183002
22,안성봉,AHN Seong-bong,중국집 경호원,,20183002
